Player,Team,Pos,Games,G,A,Pts,+/-,PIM,SOG,GWG,G,A,G,A,Hits,BS
Rickard Rakell,ANH,C,33,9,15,24,6,6,95,0,1,4,0,3,41,11
Robby Fabbri,DET,LW,27,9,7,16,-15,10,42,2,5,2,0,0,31,4
Roman Josi,NSH,D,32,9,20,29,11,23,117,0,3,8,0,0,24,52
Carl Soderberg,ARI,C,35,9,10,19,1,8,52,0,4,3,0,0,36,17
Johnny Gaudreau,CGY,LW,35,9,17,26,-8,10,101,0,3,6,0,0,1,3
Paul Stastny,VGK,C,36,8,6,14,-7,18,67,3,4,2,0,0,41,18
Dominik Kahun,PIT,C,32,8,9,17,8,8,53,2,0,1,0,0,5,10
Alex DeBrincat,CHI,RW,34,8,16,24,0,11,97,0,5,3,0,0,37,14
Cale Makar,COL,D,29,8,20,28,10,0,58,3,2,10,0,0,19,30
Dominik Kubalik,CHI,LW,32,8,5,13,-1,6,69,0,2,2,0,0,48,11
Erik Haula,CAR,C,16,8,3,11,0,6,33,1,3,2,0,0,5,5
Kasperi Kapanen,TOR,RW,34,8,10,18,-4,6,55,1,0,3,2,0,49,10
Christian Dvorak,ARI,LW,35,8,13,21,8,4,59,2,3,3,0,0,21,20
Cam Atkinson,CLS,RW,33,8,11,19,-5,6,109,1,3,4,0,0,16,19
Matt Duchene,NSH,C,31,8,13,21,-4,12,68,0,3,2,0,0,16,9
James van Riemsdyk,PHI,LW,33,8,9,17,4,6,81,0,1,1,0,0,14,6
Evgeni Malkin,PIT,C,20,8,19,27,8,8,68,2,2,4,0,0,8,10
Josh Bailey,NYI,LW,31,8,14,22,1,8,37,2,1,5,1,0,12,22
Sean Couturier,PHI,C,33,8,16,24,6,14,87,1,1,4,0,0,28,16
Kevin Hayes,PHI,C,33,8,9,17,-8,14,81,1,1,1,1,0,48,10
Dylan Larkin,DET,C,35,8,13,21,-10,19,113,0,4,2,0,0,27,20
Kevin Fiala,MIN,LW,29,8,11,19,1,20,59,0,1,3,0,0,17,10
Kevin Labanc,SJ,RW,35,8,11,19,-18,26,84,2,2,2,0,0,25,7
Jake DeBrusk,BOS,LW,29,8,8,16,4,8,65,0,2,1,0,0,12,6
Noel Acciari,FLA,C,30,8,2,10,-3,4,43,3,0,0,0,0,53,46
Tanner Pearson,VAN,LW,34,8,13,21,0,10,92,1,1,5,2,1,43,18
Chris Kreider,NYR,LW,33,8,10,18,3,34,71,1,3,2,0,0,60,25
Tyler Ennis,OTT,LW,34,8,9,17,-4,16,71,1,3,1,0,0,32,16
Filip Chytil,NYR,C,24,8,3,11,6,6,52,2,0,0,0,0,4,15
Phillip Danault,MON,C,33,7,18,25,9,8,50,0,0,2,0,0,62,15
Lars Eller,WAS,C,35,7,10,17,8,20,84,0,1,1,1,0,28,22
Mats Zuccarello,MIN,RW,30,7,11,18,-6,10,41,1,2,3,0,0,7,20
Gustav Nyquist,CLS,RW,33,7,14,21,-4,10,74,2,2,3,0,0,16,11
Tyler Seguin,DAL,C,35,7,19,26,4,14,124,2,0,5,0,0,49,15
Colton Sissons,NSH,RW,32,7,6,13,2,8,32,2,0,0,1,0,52,18
